complex_id,source_complex_id,appendix_file,appendix_source_sha256,level,module,complex_title,ai_relevance,ai_targets,reusable_ai_primitive,qenn_use,pgqenn_use,soinets_use,verification_status,integration_status
metric_deformation_robustness_and_deformation_fragility,metric_deformation_robustness_and_deformation_fragility,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,B,spectrum_of_infinities,Metric-Deformation Robustness and Deformation Fragility,high,"PGQENN,SOInets",multi-scale capacity/shell routing and spectrum allocation,use as a typed theorem-contract diagnostic only,use as a typed theorem-contract diagnostic only,multi-shell capacity routing and task-spectrum allocation,appendix_labels_verified,planned
2_adic_history_accessibility_and_frozen_accessibility,2_adic_history_accessibility_and_frozen_accessibility,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,B,spectrum_of_infinities,2-Adic History Accessibility and Frozen Accessibility,high,"PGQENN,SOInets",involutive/reversible state update and parity clock; multi-scale capacity/shell routing and spectrum allocation,use as a typed theorem-contract diagnostic only,2-adic/parity address and typed arithmetic constraint,multi-shell capacity routing and task-spectrum allocation; inter-network memory and history transport,appendix_labels_verified,planned
cosmic_matrix_address_and_ghost_spark_obstruction,cosmic_matrix_address_and_ghost_spark_obstruction,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,C,spectrum_of_infinities,Cosmic Matrix Address and Ghost-Spark Obstruction,high,"PGQENN,SOInets","multi-scale capacity/shell routing and spectrum allocation; non-cancelling residual, self-audit certificate, and fail-closed training objective",non-cancelling closure residual in the training objective,use as a typed theorem-contract diagnostic only,multi-shell capacity routing and task-spectrum allocation,appendix_labels_verified,planned
observable_locality_and_infinite_exposure,observable_locality_and_infinite_exposure,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,C,spectrum_of_infinities,Observable Locality and Infinite Exposure,high,"PGQENN,SOInets","locality-aware graph/spatial operator and boundary gate; multi-scale capacity/shell routing and spectrum allocation; attention/readout projection, confidence gate, and collapse status",projection readout and calibrated collapse gate,prime-shell graph locality and message-passing mask,multi-shell capacity routing and task-spectrum allocation; cross-network observation/collapse and accessibility gate; network-of-networks spatial coupling and locality constraint,appendix_labels_verified,planned
elastic_curvature_probing_and_incoherent_warping,elastic_curvature_probing_and_incoherent_warping,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,C,spectrum_of_infinities,Elastic- Curvature Probing and Incoherent Warping,high,"QENN,PGQENN,SOInets",locality-aware graph/spatial operator and boundary gate; multi-scale capacity/shell routing and spectrum allocation; entropy-conditioned gain/temperature and adaptive spectral scaling,"entropy-conditioned gain, temperature or learning-rate modulation",entropy-weighted edge/growth modulation,multi-shell capacity routing and task-spectrum allocation; per-shell entropy/gain controller,appendix_labels_verified,planned
observation_induced_collapse_and_collapse_divergence,observation_induced_collapse_and_collapse_divergence,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,observation_collapse,Observation-Induced Collapse and Collapse Divergence,medium,"QENN,SOInets","attention/readout projection, confidence gate, and collapse status",projection readout and calibrated collapse gate,use as a typed theorem-contract diagnostic only,cross-network observation/collapse and accessibility gate,appendix_labels_verified,planned
collapse_attractor_stability_and_attractor_instability,collapse_attractor_stability_and_attractor_instability,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,observation_collapse,Collapse-Attractor Stability and Attractor Instability,medium,"QENN,SOInets","attention/readout projection, confidence gate, and collapse status",projection readout and calibrated collapse gate,use as a typed theorem-contract diagnostic only,cross-network observation/collapse and accessibility gate,appendix_labels_verified,planned
uniqueness_and_non_uniqueness_of_collapse,uniqueness_and_non_uniqueness_of_collapse,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,observation_collapse,Uniqueness and Non-Uniqueness of Collapse,medium,"QENN,SOInets","attention/readout projection, confidence gate, and collapse status",projection readout and calibrated collapse gate,use as a typed theorem-contract diagnostic only,cross-network observation/collapse and accessibility gate,appendix_labels_verified,planned
hilbert_projection_realization_and_projection_breakdown,hilbert_projection_realization_and_projection_breakdown,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,observation_collapse,Hilbert Projection Realization and Projection Breakdown,medium,"QENN,SOInets","attention/readout projection, confidence gate, and collapse status",projection readout and calibrated collapse gate,use as a typed theorem-contract diagnostic only,cross-network observation/collapse and accessibility gate,appendix_labels_verified,planned
fixed_point_consistency_and_trivial_collapse_failure,fixed_point_consistency_and_trivial_collapse_failure,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,observation_collapse,Fixed-Point Consistency and Trivial-Collapse Failure,medium,"QENN,SOInets","attention/readout projection, confidence gate, and collapse status; non-cancelling residual, self-audit certificate, and fail-closed training objective",projection readout and calibrated collapse gate,use as a typed theorem-contract diagnostic only,cross-network observation/collapse and accessibility gate; meta-closure auditor across subnets/modalities,appendix_labels_verified,planned
observation_definiteness_equivalence_and_closure_failure,observation_definiteness_equivalence_and_closure_failure,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,observation_collapse,Observation–Definiteness Equivalence and Closure Failure,high,"QENN,SOInets","attention/readout projection, confidence gate, and collapse status; non-cancelling residual, self-audit certificate, and fail-closed training objective",projection readout and calibrated collapse gate; non-cancelling closure residual in the training objective,growth-step closure certificate and source-removal ablation,cross-network observation/collapse and accessibility gate; meta-closure auditor across subnets/modalities,appendix_labels_verified,planned
definite_state_projection_and_state_ambiguity,definite_state_projection_and_state_ambiguity,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,observation_collapse,Definite-State Projection and State Ambiguity,medium,"QENN,SOInets","attention/readout projection, confidence gate, and collapse status",projection readout and calibrated collapse gate,use as a typed theorem-contract diagnostic only,cross-network observation/collapse and accessibility gate,appendix_labels_verified,planned
ergodic_collapse_projection_and_non_convergence,ergodic_collapse_projection_and_non_convergence,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,A,observation_collapse,Ergodic Collapse Projection and Non-Convergence,medium,"QENN,SOInets","attention/readout projection, confidence gate, and collapse status",projection readout and calibrated collapse gate,use as a typed theorem-contract diagnostic only,cross-network observation/collapse and accessibility gate,appendix_labels_verified,planned
outcome_conditioned_closure_instrument,outcome_conditioned_closure_instrument,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,B,observation_collapse,Outcome-Conditioned Closure Instrument,high,"QENN,SOInets","attention/readout projection, confidence gate, and collapse status; non-cancelling residual, self-audit certificate, and fail-closed training objective",projection readout and calibrated collapse gate; non-cancelling closure residual in the training objective,growth-step closure certificate and source-removal ablation,cross-network observation/collapse and accessibility gate; meta-closure auditor across subnets/modalities,appendix_labels_verified,planned
involutive_collapse_spectral_pinning_and_spectral_drift,involutive_collapse_spectral_pinning_and_spectral_drift,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,B,observation_collapse,Involutive Collapse–Spectral Pinning and Spectral Drift,high,"QENN,SOInets","attention/readout projection, confidence gate, and collapse status; spectral positional encoding and sparse-support stability constraint",spectral purification/positional feature layer; projection readout and calibrated collapse gate,prime-motif spectral support regularizer,cross-network observation/collapse and accessibility gate; multi-resolution spectral synchronization,appendix_labels_verified,planned
temporal_compression_and_frozen_time_obstruction,temporal_compression_and_frozen_time_obstruction,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,B,observation_collapse,Temporal Compression and Frozen-Time Obstruction,high,"QENN,SOInets","attention/readout projection, confidence gate, and collapse status; non-cancelling residual, self-audit certificate, and fail-closed training objective; memory kernel and temporal state-space operator",projection readout and calibrated collapse gate; non-cancelling closure residual in the training objective; state-space memory kernel,use as a typed theorem-contract diagnostic only,cross-network observation/collapse and accessibility gate; inter-network memory and history transport,appendix_labels_verified,planned
collapse_spectral_selection_and_spectral_ambiguity,collapse_spectral_selection_and_spectral_ambiguity,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,B,observation_collapse,Collapse Spectral Selection and Spectral Ambiguity,high,"QENN,SOInets","attention/readout projection, confidence gate, and collapse status; spectral positional encoding and sparse-support stability constraint",spectral purification/positional feature layer; projection readout and calibrated collapse gate,prime-motif spectral support regularizer,cross-network observation/collapse and accessibility gate; multi-resolution spectral synchronization,appendix_labels_verified,planned
observation_dimensional_binding_and_dimensional_non_binding,observation_dimensional_binding_and_dimensional_non_binding,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,C,observation_collapse,Observation Dimensional Binding and Dimensional Non-Binding,high,"QENN,SOInets","attention/readout projection, confidence gate, and collapse status",projection readout and calibrated collapse gate,use as a typed theorem-contract diagnostic only,cross-network observation/collapse and accessibility gate,appendix_labels_verified,planned
observable_locality_and_collapse_inaccessibility,observable_locality_and_collapse_inaccessibility,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,C,observation_collapse,Observable Locality and Collapse Inaccessibility,high,"QENN,PGQENN,SOInets","locality-aware graph/spatial operator and boundary gate; attention/readout projection, confidence gate, and collapse status",projection readout and calibrated collapse gate,prime-shell graph locality and message-passing mask,cross-network observation/collapse and accessibility gate; network-of-networks spatial coupling and locality constraint,appendix_labels_verified,planned
local_horizon_boundary_and_non_locality_divergence,local_horizon_boundary_and_non_locality_divergence,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,C,observation_collapse,Local Horizon Boundary and Non-Locality Divergence,high,"QENN,PGQENN,SOInets","locality-aware graph/spatial operator and boundary gate; attention/readout projection, confidence gate, and collapse status",projection readout and calibrated collapse gate,prime-shell graph locality and message-passing mask,cross-network observation/collapse and accessibility gate; network-of-networks spatial coupling and locality constraint,appendix_labels_verified,planned
closure_conditioned_spectral_outcome_field,closure_conditioned_spectral_outcome_field,appendix_tne_foundational_closure_architecture.tex,5e459eed3eca36d1342bc879fc8ac3962f3c801bfd1aab733f3db081a7ed0c69,C,observation_collapse,Closure-Conditioned Spectral Outcome Field,high,"QENN,SOInets","locality-aware graph/spatial operator and boundary gate; attention/readout projection, confidence gate, and collapse status; non-cancelling residual, self-audit certificate, and fail-closed training objective; spectral positional encoding and sparse-support stability constraint",spectral purification/positional feature layer; projection readout and calibrated collapse gate; non-cancelling closure residual in the training objective,prime-motif spectral support regularizer; growth-step closure certificate and source-removal ablation,cross-network observation/collapse and accessibility gate; network-of-networks spatial coupling and locality constraint; meta-closure auditor across subnets/modalities; multi-resolution spectral synchronization,appendix_labels_verified,planned
dfi_spectrum_normalized_existence_and_normalization_breakdown,dfi_spectrum_normalized_existence_and_normalization_breakdown,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,A,dfi,DFI Spectrum-Normalized Existence and Normalization Breakdown,medium,"QENN,PGQENN,SOInets",entropy-feedback metric and instability regularizer,entropy-feedback loss and adaptive update diagnostic,entropy-weighted edge/growth modulation,multi-shell capacity routing and task-spectrum allocation; per-shell entropy/gain controller,appendix_labels_verified,planned
dfi_invariance_under_soi_rescaling_and_spurious_scale_dependence,dfi_invariance_under_soi_rescaling_and_spurious_scale_dependence,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,A,dfi,DFI Invariance under SOI Rescaling and Spurious Scale Dependence,medium,QENN,entropy-feedback metric and instability regularizer,entropy-feedback loss and adaptive update diagnostic,entropy-weighted edge/growth modulation,per-shell entropy/gain controller,appendix_labels_verified,planned
dfi_entropic_fluctuation_encoding_and_fluctuation_divergence,dfi_entropic_fluctuation_encoding_and_fluctuation_divergence,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,A,dfi,DFI Entropic Fluctuation Encoding and Fluctuation Divergence,medium,QENN,entropy-feedback metric and instability regularizer,entropy-feedback loss and adaptive update diagnostic,entropy-weighted edge/growth modulation,per-shell entropy/gain controller,appendix_labels_verified,planned
dfi_adaptive_applicability_and_contextual_instability,dfi_adaptive_applicability_and_contextual_instability,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,A,dfi,DFI Adaptive Applicability and Contextual Instability,medium,QENN,entropy-feedback metric and instability regularizer,entropy-feedback loss and adaptive update diagnostic,entropy-weighted edge/growth modulation,per-shell entropy/gain controller,appendix_labels_verified,planned
dfi_uniqueness_of_decomposition_and_mapping_ambiguity,dfi_uniqueness_of_decomposition_and_mapping_ambiguity,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,A,dfi,DFI Uniqueness of Decomposition and Mapping Ambiguity,medium,QENN,entropy-feedback metric and instability regularizer,entropy-feedback loss and adaptive update diagnostic,entropy-weighted edge/growth modulation,per-shell entropy/gain controller,appendix_labels_verified,planned
dfi_flowpoint_consistency_and_interface_inconsistency,dfi_flowpoint_consistency_and_interface_inconsistency,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,A,dfi,DFI–Flowpoint Consistency and Interface Inconsistency,medium,"QENN,SOInets","involutive/reversible state update and parity clock; entropy-feedback metric and instability regularizer; non-cancelling residual, self-audit certificate, and fail-closed training objective",reversible/alternating hidden-state gate; entropy-feedback loss and adaptive update diagnostic,dual/sign-equivariant edge and node update; entropy-weighted edge/growth modulation,meta-closure auditor across subnets/modalities; per-shell entropy/gain controller,appendix_labels_verified,planned
dfi_simulation_consistency_and_simulation_breakdown,dfi_simulation_consistency_and_simulation_breakdown,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,A,dfi,DFI Simulation Consistency and Simulation Breakdown,medium,QENN,"entropy-feedback metric and instability regularizer; non-cancelling residual, self-audit certificate, and fail-closed training objective",entropy-feedback loss and adaptive update diagnostic,entropy-weighted edge/growth modulation,meta-closure auditor across subnets/modalities; per-shell entropy/gain controller,appendix_labels_verified,planned
scale_normalized_dfi_homogeneity_invariant,scale_normalized_dfi_homogeneity_invariant,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,B,dfi,Scale-Normalized DFI Homogeneity Invariant,high,QENN,entropy-feedback metric and instability regularizer,entropy-feedback loss and adaptive update diagnostic,entropy-weighted edge/growth modulation,per-shell entropy/gain controller,appendix_labels_verified,planned
entropic_applicability_response_operator,entropic_applicability_response_operator,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,B,dfi,Entropic Applicability Response Operator,high,QENN,entropy-feedback metric and instability regularizer,entropy-feedback loss and adaptive update diagnostic,entropy-weighted edge/growth modulation,per-shell entropy/gain controller,appendix_labels_verified,planned
flowpoint_certified_dfi_validation_functional,flowpoint_certified_dfi_validation_functional,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,B,dfi,Flowpoint-Certified DFI Validation Functional,high,"QENN,SOInets",involutive/reversible state update and parity clock; entropy-feedback metric and instability regularizer,reversible/alternating hidden-state gate; entropy-feedback loss and adaptive update diagnostic,dual/sign-equivariant edge and node update; entropy-weighted edge/growth modulation,per-shell entropy/gain controller,appendix_labels_verified,planned
spatially_localized_dfi_consistency_closure,spatially_localized_dfi_consistency_closure,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,C,dfi,Spatially Localized DFI Consistency Closure,high,"QENN,PGQENN,SOInets","locality-aware graph/spatial operator and boundary gate; entropy-feedback metric and instability regularizer; non-cancelling residual, self-audit certificate, and fail-closed training objective",entropy-feedback loss and adaptive update diagnostic; non-cancelling closure residual in the training objective,prime-shell graph locality and message-passing mask; growth-step closure certificate and source-removal ablation; entropy-weighted edge/growth modulation,network-of-networks spatial coupling and locality constraint; meta-closure auditor across subnets/modalities; per-shell entropy/gain controller,appendix_labels_verified,planned
parity_definite_fluctuation_law_and_parity_indeterminate_fluctuation_law,parity_definite_fluctuation_law_and_parity_indeterminate_fluctuation_law,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,A,pdfi,Parity-Definite Fluctuation Law and Parity-Indeterminate Fluctuation Law,medium,"QENN,PGQENN",entropy-feedback metric and instability regularizer,entropy-feedback loss and adaptive update diagnostic,2-adic/parity address and typed arithmetic constraint; entropy-weighted edge/growth modulation,per-shell entropy/gain controller,appendix_labels_verified,planned
flowpoint_parity_correspondence_and_decoupling,flowpoint_parity_correspondence_and_decoupling,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,A,pdfi,Flowpoint–Parity Correspondence and Decoupling,medium,"QENN,PGQENN,SOInets",involutive/reversible state update and parity clock; entropy-feedback metric and instability regularizer,reversible/alternating hidden-state gate; entropy-feedback loss and adaptive update diagnostic,2-adic/parity address and typed arithmetic constraint; dual/sign-equivariant edge and node update; entropy-weighted edge/growth modulation,per-shell entropy/gain controller,appendix_labels_verified,planned
pdfi_entropic_predictability_and_fluctuation_ambiguity,pdfi_entropic_predictability_and_fluctuation_ambiguity,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,A,pdfi,pDFI Entropic Predictability and Fluctuation Ambiguity,medium,"QENN,PGQENN",entropy-feedback metric and instability regularizer,entropy-feedback loss and adaptive update diagnostic,2-adic/parity address and typed arithmetic constraint; entropy-weighted edge/growth modulation,per-shell entropy/gain controller,appendix_labels_verified,planned
pdfi_driven_meta_observation_and_collapse_under_meta_parity_breakdown,pdfi_driven_meta_observation_and_collapse_under_meta_parity_breakdown,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,A,pdfi,pDFI-Driven Meta-Observation and Collapse under Meta-Parity Breakdown,high,"QENN,PGQENN,SOInets","attention/readout projection, confidence gate, and collapse status; entropy-feedback metric and instability regularizer",entropy-feedback loss and adaptive update diagnostic; projection readout and calibrated collapse gate,2-adic/parity address and typed arithmetic constraint; entropy-weighted edge/growth modulation,cross-network observation/collapse and accessibility gate; per-shell entropy/gain controller,appendix_labels_verified,planned
pdfi_elastic_equivalence_and_decoupling,pdfi_elastic_equivalence_and_decoupling,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,A,pdfi,pDFI–Elastic Equivalence and Decoupling,medium,"QENN,PGQENN,SOInets",entropy-feedback metric and instability regularizer; entropy-conditioned gain/temperature and adaptive spectral scaling,"entropy-feedback loss and adaptive update diagnostic; entropy-conditioned gain, temperature or learning-rate modulation",2-adic/parity address and typed arithmetic constraint; entropy-weighted edge/growth modulation,per-shell entropy/gain controller,appendix_labels_verified,planned
completeness_of_parity_driven_fluctuation_synthesis_and_incompleteness_of_parity_driven_fluctuations,completeness_of_parity_driven_fluctuation_synthesis_and_incompleteness_of_parity_driven_fluctuations,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,A,pdfi,Completeness of Parity-Driven Fluctuation Synthesis and Incompleteness of Parity-Driven Fluctuations,medium,"QENN,PGQENN","entropy-feedback metric and instability regularizer; non-cancelling residual, self-audit certificate, and fail-closed training objective",entropy-feedback loss and adaptive update diagnostic; non-cancelling closure residual in the training objective,2-adic/parity address and typed arithmetic constraint; growth-step closure certificate and source-removal ablation; entropy-weighted edge/growth modulation,meta-closure auditor across subnets/modalities; per-shell entropy/gain controller,appendix_labels_verified,planned
parity_flowpoint_transport_law,parity_flowpoint_transport_law,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,B,pdfi,Parity–Flowpoint Transport Law,high,"QENN,PGQENN,SOInets",involutive/reversible state update and parity clock; entropy-feedback metric and instability regularizer; wave/PDE message-passing and transport operator,reversible/alternating hidden-state gate; entropy-feedback loss and adaptive update diagnostic,2-adic/parity address and typed arithmetic constraint; dual/sign-equivariant edge and node update; entropy-weighted edge/growth modulation,per-shell entropy/gain controller,appendix_labels_verified,planned
predictability_observation_parity_coupling,predictability_observation_parity_coupling,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,B,pdfi,Predictability–Observation Parity Coupling,high,"QENN,PGQENN,SOInets","attention/readout projection, confidence gate, and collapse status; entropy-feedback metric and instability regularizer",entropy-feedback loss and adaptive update diagnostic; projection readout and calibrated collapse gate,2-adic/parity address and typed arithmetic constraint; entropy-weighted edge/growth modulation,cross-network observation/collapse and accessibility gate; per-shell entropy/gain controller,appendix_labels_verified,planned
elastic_calibration_completeness_functional,elastic_calibration_completeness_functional,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,B,pdfi,Elastic-Calibration Completeness Functional,high,"QENN,PGQENN,SOInets","entropy-feedback metric and instability regularizer; entropy-conditioned gain/temperature and adaptive spectral scaling; non-cancelling residual, self-audit certificate, and fail-closed training objective","entropy-feedback loss and adaptive update diagnostic; entropy-conditioned gain, temperature or learning-rate modulation; non-cancelling closure residual in the training objective",2-adic/parity address and typed arithmetic constraint; growth-step closure certificate and source-removal ablation; entropy-weighted edge/growth modulation,meta-closure auditor across subnets/modalities; per-shell entropy/gain controller,appendix_labels_verified,planned
spatial_parity_elastic_calibration_closure,spatial_parity_elastic_calibration_closure,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,C,pdfi,Spatial Parity–Elastic Calibration Closure,high,"QENN,PGQENN,SOInets","locality-aware graph/spatial operator and boundary gate; entropy-feedback metric and instability regularizer; entropy-conditioned gain/temperature and adaptive spectral scaling; non-cancelling residual, self-audit certificate, and fail-closed training objective","entropy-feedback loss and adaptive update diagnostic; entropy-conditioned gain, temperature or learning-rate modulation; non-cancelling closure residual in the training objective",2-adic/parity address and typed arithmetic constraint; prime-shell graph locality and message-passing mask; growth-step closure certificate and source-removal ablation; entropy-weighted edge/growth modulation,network-of-networks spatial coupling and locality constraint; meta-closure auditor across subnets/modalities; per-shell entropy/gain controller,appendix_labels_verified,planned
dfi_elastic_equivalence_and_breakdown,dfi_elastic_equivalence_and_breakdown,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,A,elastic_pi,DFI–Elastic Equivalence and Breakdown,medium,"QENN,SOInets",entropy-feedback metric and instability regularizer; entropy-conditioned gain/temperature and adaptive spectral scaling,"entropy-feedback loss and adaptive update diagnostic; entropy-conditioned gain, temperature or learning-rate modulation",entropy-weighted edge/growth modulation,per-shell entropy/gain controller,appendix_labels_verified,planned
elastic_e_curvature_encoding_and_curvature_ambiguity_divergence,elastic_e_curvature_encoding_and_curvature_ambiguity_divergence,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,A,elastic_pi,Elastic _{ E} Curvature Encoding and Curvature Ambiguity/Divergence,medium,"QENN,SOInets",locality-aware graph/spatial operator and boundary gate; entropy-conditioned gain/temperature and adaptive spectral scaling,"entropy-conditioned gain, temperature or learning-rate modulation",entropy-weighted edge/growth modulation,per-shell entropy/gain controller,appendix_labels_verified,planned
elastic_curvature_entropy_duality_and_decoupling,elastic_curvature_entropy_duality_and_decoupling,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,A,elastic_pi,Elastic Curvature–Entropy Duality and Decoupling,medium,"QENN,SOInets",dual-channel encoding and sign-equivariant weight tying; locality-aware graph/spatial operator and boundary gate; entropy-feedback metric and instability regularizer; entropy-conditioned gain/temperature and adaptive spectral scaling,"entropy-feedback loss and adaptive update diagnostic; entropy-conditioned gain, temperature or learning-rate modulation",dual/sign-equivariant edge and node update; entropy-weighted edge/growth modulation,per-shell entropy/gain controller,appendix_labels_verified,planned
elastic_simulation_consistency_and_simulation_breakdown_non_equivalence,elastic_simulation_consistency_and_simulation_breakdown_non_equivalence,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,A,elastic_pi,Elastic Simulation Consistency and Simulation Breakdown/Non-Equivalence,medium,"QENN,SOInets","entropy-conditioned gain/temperature and adaptive spectral scaling; non-cancelling residual, self-audit certificate, and fail-closed training objective","entropy-conditioned gain, temperature or learning-rate modulation",entropy-weighted edge/growth modulation,meta-closure auditor across subnets/modalities; per-shell entropy/gain controller,appendix_labels_verified,planned
dfi_log_curvature_reciprocity_law,dfi_log_curvature_reciprocity_law,appendix_tne_fluctuation_and_elastic_dynamics.tex,3277f0ffffcc27dc37ed17f7ecf721ba32234706544ceb5cfbeb5538846f2ba2,B,elastic_pi,DFI–Log-Curvature Reciprocity Law,high,"QENN,SOInets",locality-aware graph/spatial operator and boundary gate; entropy-feedback metric and instability regularizer; entropy-conditioned gain/temperature and adaptive spectral scaling,"entropy-feedback loss and adaptive update diagnostic; entropy-conditioned gain, temperature or learning-rate modulation",entropy-weighted edge/growth modulation,per-shell entropy/gain controller,appendix_labels_verified,planned
